offspring_table,fitness
offspring_9_13,77.10301139
offspring_9_14,66.06864305
offspring_9_15,75.93258092
offspring_9_16,61.40834764
offspring_9_17,80.80720168
offspring_9_18,68.73094433
offspring_9_19,73.63181983
offspring_9_20,69.38617916
offspring_9_21,86.49712384
offspring_9_22,86.66444584
offspring_9_23,77.21765746
offspring_9_24,83.57479239
offspring_9_25,84.85268286
offspring_9_26,57.09048213
offspring_9_27,91.04717672
offspring_9_28,70.01210798
offspring_9_29,60.82888299
offspring_9_30,73.15050364
offspring_9_31,86.69342417
offspring_10_0,102.27871223
offspring_10_1,95.38938818
offspring_10_2,94.15436799
offspring_10_3,93.66046878
offspring_10_4,93.09576117
offspring_10_5,91.9255058
offspring_10_6,91.04717672
offspring_10_7,86.66444584
offspring_10_8,86.49712384
offspring_10_9,85.83366967
offspring_10_10,86.69342417
offspring_10_11,77.10301139
offspring_10_12,73.15050364
offspring_10_13,84.85268286
offspring_10_14,70.01210798
offspring_10_15,66.06864305
offspring_10_16,74.24630988
offspring_10_17,67.16744508
offspring_10_18,92.03187878
offspring_10_19,74.47877118
offspring_10_20,69.32512613
offspring_10_21,85.2957109
offspring_10_22,95.38938818
offspring_10_23,85.83366967
offspring_10_24,86.95790815
offspring_10_25,69.6880862
offspring_10_26,75.21139716
offspring_10_27,95.86161301
offspring_10_28,83.60485775
offspring_10_29,60.63498379
offspring_10_30,92.51324526
offspring_10_31,94.42152529
offspring_11_0,102.27871223
offspring_11_1,95.86161301
offspring_11_2,95.38938818
offspring_11_3,95.38938818
offspring_11_4,94.42152529
offspring_11_5,94.15436799
offspring_11_6,93.66046878
offspring_11_7,83.60485775
offspring_11_8,92.51324526
offspring_11_9,85.83366967
offspring_11_10,92.03187878
offspring_11_11,74.24630988
offspring_11_12,85.2957109
offspring_11_13,91.04717672
offspring_11_14,60.63498379
offspring_11_15,84.85268286
offspring_11_16,85.66384425
offspring_11_17,62.60617188
offspring_11_18,86.25126298
offspring_11_19,92.55235173
offspring_11_20,93.27043914
offspring_11_21,81.82316187
offspring_11_22,82.13579341
offspring_11_23,80.16836913
offspring_11_24,92.37489988
offspring_11_25,88.50932369
offspring_11_26,96.98508521
offspring_11_27,94.20409667
offspring_11_28,82.51123074
offspring_11_29,78.96754911
offspring_11_30,66.99434996
offspring_11_31,97.81999792
offspring_12_0,102.27871223
offspring_12_1,97.81999792
offspring_12_2,96.98508521
offspring_12_3,95.86161301
offspring_12_4,95.38938818
offspring_12_5,95.38938818
offspring_12_6,94.42152529
offspring_12_7,74.24630988
offspring_12_8,93.66046878
offspring_12_9,93.27043914
offspring_12_10,94.20409667
offspring_12_11,85.2957109
offspring_12_12,91.04717672
offspring_12_13,94.15436799
offspring_12_14,66.99434996
offspring_12_15,82.13579341
offspring_12_16,87.36586571
offspring_12_17,88.2809504
offspring_12_18,86.33133094
offspring_12_19,81.5573135
offspring_12_20,61.03835926
offspring_12_21,86.11450044
offspring_12_22,80.31194154
offspring_12_23,86.39429101
offspring_12_24,81.68563131
offspring_12_25,84.09434823
offspring_12_26,95.74102391
offspring_12_27,88.50578353
offspring_12_28,69.84064596
offspring_12_29,90.5450547
offspring_12_30,94.45409407
offspring_12_31,96.05420155
offspring_13_0,102.27871223
offspring_13_1,97.81999792
offspring_13_2,96.98508521
offspring_13_3,96.05420155
offspring_13_4,95.86161301
offspring_13_5,95.74102391
offspring_13_6,95.38938818
offspring_13_7,94.20409667
offspring_13_8,86.11450044
offspring_13_9,87.36586571
offspring_13_10,91.04717672
offspring_13_11,94.45409407
offspring_13_12,82.13579341
offspring_13_13,94.15436799
offspring_13_14,84.09434823
offspring_13_15,93.66046878
offspring_13_16,54.96646209
offspring_13_17,81.98312616
offspring_13_18,90.02931121
offspring_13_19,79.51672995
offspring_13_20,97.30725196
offspring_13_21,81.76956537
offspring_13_22,95.80910699
offspring_13_23,94.46640314
offspring_13_24,94.74396421
offspring_13_25,94.59189508
offspring_13_26,87.85758222
offspring_13_27,78.02926267
offspring_13_28,91.71281011
offspring_13_29,82.82331964
offspring_13_30,83.66477003
offspring_13_31,92.05305733
offspring_14_0,102.27871223
offspring_14_1,97.81999792
offspring_14_2,97.30725196
offspring_14_3,96.98508521
offspring_14_4,96.05420155
offspring_14_5,95.86161301
offspring_14_6,95.80910699
offspring_14_7,94.45409407
offspring_14_8,94.59189508
offspring_14_9,95.38938818
offspring_14_10,87.36586571
offspring_14_11,94.15436799
offspring_14_12,95.74102391
offspring_14_13,94.46640314
offspring_14_14,82.13579341
offspring_14_15,87.85758222
offspring_14_16,78.02926267
offspring_14_17,78.02926267
offspring_14_18,94.92119589
offspring_14_19,96.92931121
offspring_14_20,83.6130823
offspring_14_21,89.22936842
offspring_14_22,86.58655537
offspring_14_23,80.29712904
offspring_14_24,94.17844004
offspring_14_25,95.45741925
offspring_14_26,93.30333212
offspring_14_27,96.77860474
offspring_14_28,84.19559647
offspring_14_29,85.13683015
offspring_14_30,92.8498483
offspring_14_31,101.41776668
offspring_15_0,102.27871223
offspring_15_1,101.41776668
offspring_15_2,97.81999792
offspring_15_3,97.30725196
offspring_15_4,96.98508521
offspring_15_5,96.92931121
offspring_15_6,96.77860474
offspring_15_7,95.45741925
offspring_15_8,95.80910699
offspring_15_9,94.59189508
offspring_15_10,89.22936842
offspring_15_11,87.85758222
offspring_15_12,95.38938818
offspring_15_13,94.45409407
offspring_15_14,93.30333212
offspring_15_15,84.19559647
offspring_15_16,87.49527228
offspring_15_17,97.2350306
offspring_15_18,94.45409407
offspring_15_19,96.77860474
offspring_15_20,99.5551308
offspring_15_21,89.0936929
offspring_15_22,95.45741925
offspring_15_23,94.59189508
offspring_15_24,85.98601099
offspring_15_25,87.78601099
offspring_15_26,75.70475026
offspring_15_27,74.7678733
offspring_15_28,86.75692689
offspring_15_29,88.47103379
offspring_15_30,97.61215479
offspring_15_31,100.58753662
offspring_16_0,102.27871223
offspring_16_1,101.41776668
offspring_16_2,100.58753662
offspring_16_3,99.5551308
offspring_16_4,97.81999792
offspring_16_5,97.61215479
offspring_16_6,97.30725196
offspring_16_7,87.85758222
offspring_16_8,94.59189508
offspring_16_9,95.45741925
offspring_16_10,96.92931121
offspring_16_11,95.80910699
offspring_16_12,97.2350306
offspring_16_13,96.98508521
offspring_16_14,95.38938818
offspring_16_15,84.19559647
offspring_16_16,96.77860474
offspring_16_17,96.77860474
offspring_16_18,95.68334287
offspring_16_19,93.67931381
offspring_16_20,101.89913663
offspring_16_21,97.47871223
offspring_16_22,87.98857336
offspring_16_23,95.41858498
offspring_16_24,85.89276538
offspring_16_25,87.53410482
offspring_16_26,85.56237409
offspring_16_27,77.99047694
offspring_16_28,98.8736499
offspring_16_29,96.53269188
offspring_16_30,87.09848477
offspring_16_31,97.51945355
offspring_17_0,102.27871223
offspring_17_1,101.89913663
offspring_17_2,101.41776668
offspring_17_3,100.58753662
offspring_17_4,99.5551308
offspring_17_5,98.8736499
offspring_17_6,97.81999792
offspring_17_7,97.61215479
offspring_17_8,96.77860474
offspring_17_9,96.92931121
offspring_17_10,97.51945355
offspring_17_11,95.45741925
offspring_17_12,96.98508521
offspring_17_13,96.77860474
offspring_17_14,84.19559647
offspring_17_15,85.89276538
offspring_17_16,81.98780881
offspring_17_17,86.98252631
offspring_17_18,97.18470554
offspring_17_19,99.87893241
offspring_17_20,99.03116625
offspring_17_21,95.63655797
offspring_17_22,102.27871223
offspring_17_23,101.89913663
offspring_17_24,95.71563947
offspring_17_25,85.59140272
offspring_17_26,94.29816057
offspring_17_27,97.59739429
offspring_17_28,75.85382361
offspring_17_29,85.53394185
offspring_17_30,89.75551222
offspring_17_31,99.05992268
offspring_18_0,102.27871223
offspring_18_1,102.27871223
offspring_18_2,101.89913663
offspring_18_3,101.89913663
offspring_18_4,101.41776668
offspring_18_5,100.58753662
offspring_18_6,99.87893241
offspring_18_7,97.59739429
offspring_18_8,99.03116625
offspring_18_9,99.5551308
offspring_18_10,97.61215479
offspring_18_11,84.19559647
offspring_18_12,95.71563947
offspring_18_13,99.05992268
offspring_18_14,97.51945355
offspring_18_15,86.98252631
offspring_18_16,96.05769144
offspring_18_17,96.81602434
offspring_18_18,96.21580417
offspring_18_19,91.00534492
offspring_18_20,90.35801391
offspring_18_21,73.91874621
offspring_18_22,97.57441099
offspring_18_23,97.06929145
offspring_18_24,100.95534752
offspring_18_25,101.41727432
offspring_18_26,85.58672006
offspring_18_27,98.19598134
offspring_18_28,102.55055218
offspring_18_29,96.7381356
offspring_18_30,96.96754911
